timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:15:52.106008,BTC/USD,HOLD,73987.24,0,,,,SVM prediction based on SMA features,"{'sma3': 74260.42333333334, 'sma10': 71685.245, 'momentum': 0.001053723100836006, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:02.400024,BTC/USD,HOLD,73983.97,0,,,,SVM prediction based on SMA features,"{'sma3': 74259.33333333333, 'sma10': 71684.91799999999, 'momentum': 0.00100947971948344, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:12.688452,BTC/USD,HOLD,74003.6,0,,,,SVM prediction based on SMA features,"{'sma3': 74265.87666666666, 'sma10': 71686.881, 'momentum': 0.0012750753084589724, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:22.950680,BTC/USD,HOLD,74003.2,0,,,,SVM prediction based on SMA features,"{'sma3': 74265.74333333333, 'sma10': 71686.84099999999, 'momentum': 0.001269663274042645, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:33.319749,BTC/USD,HOLD,73997.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68333333333, 'sma10': 71686.223, 'momentum': 0.0011860473423123065, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:43.561138,BTC/USD,HOLD,73997.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68333333333, 'sma10': 71686.223, 'momentum': 0.0011860473423123065, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:16:53.941831,BTC/USD,HOLD,73997.01,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68, 'sma10': 71686.222, 'momentum': 0.0011859120414517753, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:04.256696,BTC/USD,HOLD,73997.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68333333333, 'sma10': 71686.223, 'momentum': 0.0011860473423123065, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:14.514225,BTC/USD,HOLD,73997.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68333333333, 'sma10': 71686.223, 'momentum': 0.0011860473423123065, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:24.835862,BTC/USD,HOLD,73997.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74263.68, 'sma10': 71686.222, 'momentum': 0.0011859120414517753, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:35.111409,BTC/USD,HOLD,73992.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74262.01, 'sma10': 71685.72099999999, 'momentum': 0.0011181263103888252, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:45.381012,BTC/USD,HOLD,74017.05,0,,,,SVM prediction based on SMA features,"{'sma3': 74270.36, 'sma10': 71688.226, 'momentum': 0.0014570549657039694, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:17:55.642862,BTC/USD,HOLD,74000.8,0,,,,SVM prediction based on SMA features,"{'sma3': 74264.94333333334, 'sma10': 71686.601, 'momentum': 0.0012371910675454682, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:05.897018,BTC/USD,HOLD,74000.81,0,,,,SVM prediction based on SMA features,"{'sma3': 74264.94666666667, 'sma10': 71686.602, 'momentum': 0.0012373263684058026, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:16.152712,BTC/USD,HOLD,73992.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74262.32333333333, 'sma10': 71685.81499999999, 'momentum': 0.0011308445912669484, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:26.481804,BTC/USD,HOLD,73980.88,0,,,,SVM prediction based on SMA features,"{'sma3': 74258.30333333333, 'sma10': 71684.609, 'momentum': 0.0009676717536182707, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:36.788884,BTC/USD,HOLD,73974.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.01, 'sma10': 71683.921, 'momentum': 0.0008745847616594085, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:47.040032,BTC/USD,HOLD,73976.94,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.99, 'sma10': 71684.215, 'momentum': 0.000914363214618578, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:18:57.323998,BTC/USD,HOLD,73976.94,0,,,,SVM prediction based on SMA features,"{'sma3': 74256.99, 'sma10': 71684.215, 'momentum': 0.000914363214618578, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
